"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 04:02:51 GMT 2025","Sat Jul 26 04:02:51 GMT 2025","188","","Cat breeds API testing","","Retrieving more than one breed of cat","","Retrieving more than one breed of cat",""
"passed","Sat Jul 26 04:02:51 GMT 2025","Sat Jul 26 04:02:52 GMT 2025","161","","Cat breeds API testing","","Send POST request to a GET-only endpoint","","Send POST request to a GET-only endpoint",""
"passed","Sat Jul 26 04:02:52 GMT 2025","Sat Jul 26 04:02:52 GMT 2025","226","","JSONPlaceholder API","","Retrieving all posts","","Retrieving all posts",""
"passed","Sat Jul 26 04:02:48 GMT 2025","Sat Jul 26 04:02:51 GMT 2025","2787","","Cat breeds API testing","","Retrieving all cat breeds","","Retrieving all cat breeds",""
"passed","Sat Jul 26 04:02:52 GMT 2025","Sat Jul 26 04:02:52 GMT 2025","125","","JSONPlaceholder API","","Send PUT request to a GET-only endpoint","","Send PUT request to a GET-only endpoint",""
"passed","Sat Jul 26 04:02:51 GMT 2025","Sat Jul 26 04:02:51 GMT 2025","212","","Cat breeds API testing","","Retrieving a standard list of cat breeds","","Retrieving a standard list of cat breeds",""
